NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Study Type,Locations
NCT02439177,Evaluating System Accuracy and User Performance of Omnitest® Blood Glucose Monitoring Systems for Self-testing in Managing Diabetes Mellitus,https://clinicaltrials.gov/study/NCT02439177,TERMINATED,Diabetes,DEVICE: Blood glucose monitoring system (Omnitest 3)|DEVICE: Blood glucose monitoring system (Omnitest 5),B. Braun Melsungen AG,Institut für Diabetes-Technologie Forschungs- und Entwicklungsgesellschaft mbH an der Universität Ulm,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Institut für Diabetes-Technologie Forschungs- und Entwicklungsgesellschaft mbH an der Universität Ulm, Ulm, Germany"
NCT01755442,Investigate Effect of AMG 151 on 24-hour Ambulatory Blood Pressure & Glucose Levels in Type 2 Diabetes Mellitus Subjects,https://clinicaltrials.gov/study/NCT01755442,TERMINATED,Diabetes Mellitus,OTHER: Placebo|DRUG: AMG 151,Amgen,,ALL,"ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,"Research Site, San Diego, California, 92161, United States"
NCT04089202,Diabetes eConsult Non-Inferiority Study,https://clinicaltrials.gov/study/NCT04089202,TERMINATED,Diabetes,OTHER: eConsult|OTHER: Standard of care,Boston Medical Center,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Boston Medical Center, Boston, Massachusetts, 02118, United States"
NCT05003908,Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for Diabetes,https://clinicaltrials.gov/study/NCT05003908,TERMINATED,Diabetes,BIOLOGICAL: AlloRx,The Foundation for Orthopaedics and Regenerative Medicine,,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,"Medical Surgical Associates Center, St. John's, Antigua and Barbuda|Center for Investigation in Tissue Engineering and Cellular Therapy, Buenos Aires, Argentina"
NCT03077997,Internet Intervention for Diabetes Distress,https://clinicaltrials.gov/study/NCT03077997,TERMINATED,Diabetes,BEHAVIORAL: Space from Diabetes,Derek Richards,"Silver Cloud Health|University of Dublin, Trinity College",ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Barnet, Enfield, and Haringey Mental Health Trust, Enfield, EN2 0JB, United Kingdom"
NCT00722917,Efficacy and Safety of TAK-379 in Adult Subjects With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT00722917,TERMINATED,Diabetes Mellitus,DRUG: TAK-379|DRUG: TAK-379|DRUG: TAK-379|DRUG: Pioglitazone|DRUG: Placebo,Takeda,,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Artesia, California, United States|Norwalk, California, United States|Santa Ana, California, United States|Santa Monica, California, United States|Panama City, Florida, United States|Cranston, Rhode Island, United States|Dallas, Texas, United States|Houston, Texas, United States"
NCT00763347,Efficacy and Safety Study of SYR-619 in Treating Subjects With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT00763347,TERMINATED,Diabetes Mellitus,DRUG: SYR-619|DRUG: SYR-619|DRUG: SYR-619|DRUG: SYR-619|DRUG: Placebo|DRUG: Alogliptin,Takeda,,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,
NCT01511042,Vascular Dysfunction in Diabetes: Genes and Hormones,https://clinicaltrials.gov/study/NCT01511042,TERMINATED,Diabetes Mellitus,DRUG: Para-aminohippuric Acid|DRUG: Angiotensin II|DRUG: Norepinephrine,Brigham and Women's Hospital,,ALL,"ADULT, OLDER_ADULT",,OBSERVATIONAL,"Brigham and Women's Hospital- 221 Longwood Avenue, Boston, Massachusetts, 02115, United States"
NCT03830216,Connected Pens for Diabetes Study,https://clinicaltrials.gov/study/NCT03830216,TERMINATED,Diabetes Mellitus,DEVICE: Connected insulin pen and smartphone app|DEVICE: Inactive connected insulin pen without smartphone app,"Companion Medical, Inc.",,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Mary & Dick Allen Diabetes Center, Hoag Memorial Hospital Presbyterian, Newport Beach, California, 92663, United States"
NCT02230488,Intensive Case Diabetes Management (ICDM) to Prevent Readmission,https://clinicaltrials.gov/study/NCT02230488,TERMINATED,Diabetes,OTHER: Intensive Diabetes Case Management,Washington University School of Medicine,Barnes-Jewish Hospital,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Barnes-Jewish Hospital, St. Louis, Missouri, 63110, United States"
NCT03258723,Diabetes Prevention With Lifestyle Intervention and Metformin Escalation,https://clinicaltrials.gov/study/NCT03258723,TERMINATED,Diabetes,BEHAVIORAL: Lifestyle Intervention|DRUG: Metformin,Yale University,"National Heart, Lung, and Blood Institute (NHLBI)|National Institute on Minority Health and Health Disparities (NIMHD)",ALL,ADULT,PHASE4,INTERVENTIONAL,"University of the West Indies, Cavehill and Barbados Ministry of Health Polyclinics, Bridgetown, Barbados|Internal Medicine Clinic at the University of Puerto Rico Hospital, Carolina, 00984, Puerto Rico|Southwest Regional Health Authority, La Romaine Health Center, San Fernando, Trinidad and Tobago|Ministry of Health Clinics, Charlotte Amalie, Virgin Islands (U.S.)"
NCT04819256,Primary Care Based Integrated Community Care Team Intervention,https://clinicaltrials.gov/study/NCT04819256,TERMINATED,"Diabetes|Diabetes Mellitus|Diabetes Mellitus, Type 2|Diabetes type2",OTHER: PACE-It mobile application,SingHealth Polyclinics,"Ministry of Health, Singapore|Agency for Integrated Care, Singapore|SingHealth Regional Health System",ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"SingHealth Polyclinics - Marine Parade, 80 Marine Parade Central, #01-792, Singapore, 440080, Singapore"
NCT03708380,Diabetes Prevention for Black Men,https://clinicaltrials.gov/study/NCT03708380,TERMINATED,Diabetes,BEHAVIORAL: Dietary intervention,NYU Langone Health,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"New York University School of Medicine, New York, New York, 10016, United States"
NCT03946631,GDM Post Partum Screening,https://clinicaltrials.gov/study/NCT03946631,TERMINATED,"Diabetes|Gestational Diabetes|Diabetes Mellitus, Type 2",DIAGNOSTIC_TEST: 2 hour glucose tolerance test using 75g glucose drink,Pediatrix,Banner University Medical Center,FEMALE,ADULT,,OBSERVATIONAL,"Banner - University Medical Center Phoenix, Phoenix, Arizona, 85006, United States"
NCT01963728,Comparison of Insulin Therapy in Treating Post-Transplant Diabetes,https://clinicaltrials.gov/study/NCT01963728,TERMINATED,Diabetes Mellitus,"DRUG: Insulin, Isophane|DRUG: insulin glargine",Inova Health Care Services,,ALL,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Inova Fairfax Hospital, Falls Church, Virginia, 22042, United States"
NCT01029444,Effects of Pulsed Intravenous (IV) Insulin on Brittle and Uncontrolled Diabetes,https://clinicaltrials.gov/study/NCT01029444,TERMINATED,Diabetes Mellitus,"PROCEDURE: Pulsatile Intravenous Insulin Therapy (Humulin, Humulog, Novolog )",Florida Atlantic University,Advanced Diabetes Treatment Centers,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Florida Atlantic University, Boca Raton, Florida, 33421, United States"
NCT00701935,Effect of Exenatide on Abdominal Fat Distribution in Patients With Type 2 Diabetes Pretreated With Metformin,https://clinicaltrials.gov/study/NCT00701935,TERMINATED,Diabetes Mellitus,DRUG: placebo|DRUG: exenatide,AstraZeneca,Eli Lilly and Company,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Research Site, Temple, Arizona, United States|Research Site, Colorado Springs, Colorado, United States|Research Site, Honolulu, Hawaii, United States|Research Site, Bellevue, Nebraska, United States|Research Site, Las Vegas, Nevada, United States|Research Site, Calgary, Alberta, Canada|Research Site, Vancouver, British Columbia, Canada|Research Site, Victoria, British Columbia, Canada|Research Site, Winnipeg, Manitoba, Canada|Research Site, Saint John, New Brunswick, Canada|Research Site, Brampton, Ontario, Canada|Research Site, London, Ontario, Canada|Research Site, Ottawa, Ontario, Canada|Research Site, Toronto, Ontario, Canada|Research Site, Chicoutimi, Quebec, Canada|Research Site, Pointe-Claire, Quebec, Canada|Research Site, Quebec, Canada"
NCT00437164,A Study To Assess GW677954 Used In Combination With Insulin In Subjects Who Have Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT00437164,TERMINATED,"Type 2 Diabetes Mellitus|Diabetes Mellitus, Type 2",DRUG: Insulin|DRUG: Oral GW677954 Capsules (15 mg),GlaxoSmithKline,,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"GSK Investigational Site, Beverly Hills, California, 90211, United States"
NCT03460964,Measuring Sweat Glucose of Patients With Diabetes - The ENGAGE Study,https://clinicaltrials.gov/study/NCT03460964,TERMINATED,Diabetes Mellitus,DEVICE: Adhesive glucose sensor|DRUG: Pilocarpine,"University of California, San Diego",National Institutes of Health (NIH),ALL,ADULT,,INTERVENTIONAL,"UCSD Altman Clinical and Translational Research Institute, San Diego, California, 92161, United States|UCSD, San Diego, California, 92161, United States"
NCT01302743,"Cinnamon Bark, Water-Soluble Cinnamon Extract, and Metformin for Treatment of Type 2 DM.",https://clinicaltrials.gov/study/NCT01302743,TERMINATED,Diabetes,DRUG: Group 1: Metformin|DIETARY_SUPPLEMENT: Group 2: Cinnamon Bark|DIETARY_SUPPLEMENT: Group 3: Cinnulin PF,Mike O'Callaghan Military Hospital,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Mike O'Callaghan Federal Hospital, Nellis Air Force Base, Nevada, 89191, United States"
NCT00521820,Safety Comparison of Pioglitazone and Glyburide in Type 2 Diabetes Subjects With Mild to Moderate Congestive Heart Failure,https://clinicaltrials.gov/study/NCT00521820,TERMINATED,Diabetes Mellitus,DRUG: Pioglitazone|DRUG: Glyburide,Takeda,,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,
NCT02748122,CSII Pilot in Adolescents With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT02748122,TERMINATED,Diabetes,OTHER: MMT 723,NYU Langone Health,,ALL,"CHILD, ADULT",,INTERVENTIONAL,"New York University Langone Medical Center, New York, New York, 10016, United States"
NCT01906294,IMS® DIAREG Diabetes Registry - Prospective Diabetes Registry of Patients With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT01906294,TERMINATED,Type 2 Diabetes Mellitus,DRUG: antidiabetic treatment (ATC A10B),IMS HEALTH GmbH & Co. OHG,,ALL,"ADULT, OLDER_ADULT",,OBSERVATIONAL,"Praxis Dr. med. Birgit Böttger, Frankfurt am Main, 60325, Germany"
NCT02287506,StartRIGHT: A Pilot Research Study About Diabetes Diagnosis & Treatment,https://clinicaltrials.gov/study/NCT02287506,TERMINATED,Diabetes,OTHER: Optimised Diagnostic Strategy,Royal Devon and Exeter NHS Foundation Trust,,ALL,ADULT,,INTERVENTIONAL,
NCT01856881,Multiple Ascending Dose Study in Subjects With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT01856881,TERMINATED,Diabetes Mellitus,DRUG: AMG 876,Amgen,,ALL,"ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,"Research Site, Chula Vista, California, 91911, United States|Research Site, Miramar, Florida, 33025, United States|Research Site, Overland Park, Kansas, 66212, United States|Research Site, Cincinnati, Ohio, 45255, United States|Research Site, San Antonio, Texas, 78209, United States|Research Site, Renton, Washington, 98057, United States"
NCT00143247,Long-Term Safety Study of Inhaled Insulin: An Up to Four-Year Extension of Therapy in Subjects With Type 1 or Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT00143247,TERMINATED,Diabetes Mellitus,DRUG: Exubera® (inhaled insulin),Pfizer,,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Pfizer Investigational Site, San Diego, California, 92123, United States|Pfizer Investigational Site, New Haven, Connecticut, 06504, United States|Pfizer Investigational Site, Miami, Florida, 33136, United States|Pfizer Investigational Site, Chicago, Illinois, 60610, United States|Pfizer Investigational Site, Albuquerque, New Mexico, 87131-5666, United States|Pfizer Investigational Site, Durham, North Carolina, 27710, United States|Pfizer Investigational Site, Winston Salem, North Carolina, 27157, United States|Pfizer Investigational Site, Austin, Texas, 78752, United States|Pfizer Investigational Site, Austin, Texas, 78758, United States|Pfizer Investigational Site, Dallas, Texas, 75230, United States|Pfizer Investigational Site, Dallas, Texas, 75243, United States|Pfizer Investigational Site, San Antonio, Texas, 78229, United States"
NCT00896610,Natural History of Autoimmune Diabetes and Its Complications,https://clinicaltrials.gov/study/NCT00896610,TERMINATED,Diabetes Mellitus Type 1|Diabetes Mellitus Type 2,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,ALL,"CHILD, ADULT, OLDER_ADULT",,OBSERVATIONAL,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States"
NCT00527397,"Long-Term Safety Study Of Inhaled Insulin (CP-464,005, Inhaler) In Japanese Patients With Type1 or Type2 Diabetes",https://clinicaltrials.gov/study/NCT00527397,TERMINATED,"Diabetes Mellitus, Type 2|Diabetes Mellitus, Type 1","DRUG: CP-464,005|DRUG: CP-464,005|DRUG: CP-464,005",Pfizer,,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Pfizer Investigational Site, Nagoya-shi, Aichi, Japan|Pfizer Investigational Site, Yokohama-shi, Kanagawa, Japan|Pfizer Investigational Site, Tenri-shi, Nara, Japan|Pfizer Investigational Site, Takatsuki-shi, Oosaka, Japan|Pfizer Investigational Site, Bunkyo-ku, Tokyo, Japan|Pfizer Investigational Site, Meguro-ku, Tokyo, Japan|Pfizer Investigational Site, Toyama-shi, Toyama, Japan|Pfizer Investigational Site, Kyoto, Japan|Pfizer Investigational Site, Osaka, Japan|Pfizer Investigational Site, Tokyo, Japan"
NCT00228878,Effect Pulsatile IV Insulin Therapy on the Quality of Life in Patients With Types 1 and 2 Diabetes,https://clinicaltrials.gov/study/NCT00228878,TERMINATED,Diabetes Mellitus,PROCEDURE: Effects of Pulsatile IV insulin on Diabetic Quality of Life,Florida Atlantic University,Advanced Diabetes Treatment Centers,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,INTERVENTIONAL,"Florida Atlantic University, Boca Raton, Florida, 33487, United States"
NCT01492465,Single Ascending Dose Trial in Patients With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT01492465,TERMINATED,Diabetes Mellitus,DRUG: AMG 876,Amgen,,ALL,"ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,"Research Site, Omaha, Nebraska, 68154, United States|Research Site, San Antonio, Texas, 78209, United States|San Antonio, Texas, 78209, United States"
NCT00326573,Trial of Motivational Interviewing in Adolescents With Diabetes,https://clinicaltrials.gov/study/NCT00326573,TERMINATED,Diabetes Mellitus,BEHAVIORAL: Motivational Interviewing,Cardiff University,Diabetes UK,ALL,CHILD,PHASE1|PHASE2,INTERVENTIONAL,"Dept of Child Health, UHW, Cardiff, South Glamorgan, CF14 4XN, United Kingdom"
NCT00425919,Study Evaluating PPM-204 In Subjects With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT00425919,TERMINATED,Diabetes Mellitus,DRUG: PPM-204,Wyeth is now a wholly owned subsidiary of Pfizer,,ALL,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Artesia, California, 90701, United States|Los Angeles, California, 90057, United States|Chipley, Florida, 32428, United States|Destin, Florida, 32541, United States|Marianna, Florida, 32446, United States|West Palm Beach, Florida, 33401, United States|Omaha, Nebraska, 68131, United States|New York, New York, 10032, United States|Austin, Texas, 78705, United States|Richmond, Virginia, 23249, United States|Tacoma, Washington, 98405, United States|Buenos Aires, C1117ABH, Argentina|Corrientes, 3400, Argentina|La Plata, 1900, Argentina|Mar del Plata Pcia de Bs. As, 7600, Argentina|Ramos Mejia, Pcia de Bs., 1704, Argentina|Daws Park, South Australia, 5041, Australia|Keswick, South Australia, 5035, Australia|Box Hill, Victoria, 3128, Australia|Vila Clementino - Sao Paulo, 04020-060, Brazil|Edmonton, Alberta, T5G 3G6, Canada|Toronto, Ontario, M9W 4L6, Canada|Charlottetown, Prince Edward Island, C1E 1J7, Canada|Laval, Quebec, H7P 2P5, Canada|Saint-Janvier, Quebec, J7J 2K8, Canada|Beijing, 100730, China|Beijing, 100853, China|Krapinske Toplice, 49000, Croatia|Rijeka, 51000, Croatia|Zagreb, 10000, Croatia|Belgrade, 11000, Former Serbia and Montenegro|Athens, 115 21, Greece|Thessaloniki, 56429, Greece|Wanchai, Hong Kong|Bangalore, Karnataka, 560043, India|Cochin, Kerala, 682 026, India|Pune, Maharashtra, 411001, India|Chennai, Tamil nadu, 600 013, India|Vellore, Tamil Nadu, 632004, India|Catanzaro, 88100, Italy|Pisa, 56124, Italy|Aguascalientes, 20230, Mexico|Mexico D.F., 11650, Mexico|Mexico DF, 14000, Mexico|Miguel Hidalgo, 11550, Mexico|Monterrey N.L, 64410, Mexico|Tlapan, 14080, Mexico|Bucuresti, 10825, Romania|Bucuresti, 20475, Romania|Cluj-Napoca, 400006, Romania|Moscow, 117036, Russian Federation|Moscow, 117292, Russian Federation|Moscow, 123154, Russian Federation|Moscow, 125315, Russian Federation|St. Petersburg, 194044, Russian Federation|St. Petersburg, 194354, Russian Federation|Port Elizabeth, Eastern Cape, 6014, South Africa|Benoni, Gauteng, 1501, South Africa|Pretoria, Gauteng, 0002, South Africa|Pretoria, Gauteng, 39, South Africa|Temba, North West Province, 400, South Africa|Kharkiv, 61070, Ukraine|Kyiv, 02175, Ukraine|Poltava, 36024, Ukraine|Uzhgorod, 80312, Ukraine|Dundee, DD1 9SY, United Kingdom|Edinburgh, EH4 2XU, United Kingdom|Livingston, EH54 6PP, United Kingdom"
NCT02800044,Studying the Effectiveness of Non-Invasive Glucose Sensors in Patients With Diabetes: The SENSOR Study,https://clinicaltrials.gov/study/NCT02800044,TERMINATED,Diabetes Mellitus,DEVICE: Wearing a non-invasive glucose sensor,"University of California, San Diego",,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"UCSD, San Diego, California, 92161, United States"
NCT01820169,Study on Improvement of Blood Glucose Control in Patients With Diabetes Type 2 Using SMBG,https://clinicaltrials.gov/study/NCT01820169,TERMINATED,Diabetes,DEVICE: ;Accu-Chek Compact Plus LCM bulk Japan,Hoffmann-La Roche,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Kyoto, 612-8555, Japan"
NCT00629434,A Comparison of Diabetes Group Education as Administered Through Telemedicine Versus as Administered in Person,https://clinicaltrials.gov/study/NCT00629434,TERMINATED,Diabetes Mellitus,OTHER: diabetes education via telemedicine|OTHER: diabetes education in-person,State University of New York - Upstate Medical University,,ALL,"ADULT, OLDER_ADULT",,INTERVENTIONAL,"Joslin Diabetes Center Affiliate at SUNY Upstate Medical University, Syracuse, New York, 13214, United States"
NCT02887677,Effects of Dapagliflozin on Central Hemodynamics and Urine Albumin Excretion in Patients With Type 2 Diabetes.,https://clinicaltrials.gov/study/NCT02887677,TERMINATED,Diabetes Mellitus,DRUG: Dapagliflozin|DRUG: Placebo,Hellenic Society for Medical Education,,ALL,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Ahepa Hospital, Thessaloniki, 54621, Greece|Hippokrateio Hospital, Thessaloniki, 54642, Greece|Papageorgiou Hospital, Thessaloniki, 56429, Greece"
